0,1,2,val_rmse,num_neuron,test_rmse,test_score
7,7,16,19.413282799215267,230,19.05,1202.07
7,6,16,19.464156294804727,220,18.95,1217.46
7,15,7,19.47357842640715,220,19.17,1257.86
7,15,5,19.48079472715515,200,19.03,1159.94
7,13,9,19.41161160255573,220,19.03,1053.97
7,13,6,19.432019502614114,190,19.2,1092.16
2,13,4,19.45095243920832,170,19.17,1164.3
7,4,18,19.47715789587877,220,18.78,1074.81
7,6,17,19.43002367187931,230,18.73,1097.81
7,15,8,19.436178505134794,230,19.03,1160.11
7,15,5,19.466085554422847,200,18.93,1190.17
7,13,10,19.40370138616277,230,18.63,978.6
7,13,3,19.432195932215432,160,18.6,941.97
7,2,20,19.49240305881202,220,18.89,1126.28
7,9,14,19.46718116157211,230,18.7,1134.34
