idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen
0,17.0,18.0,6.0,13.0,20.0,17.0,24.0,6.34,0.0
1,20.0,16.0,11.0,9.0,14.0,9.0,11.0,6.27,0.0
2,13.0,9.0,14.0,8.0,7.0,15.0,35.0,5.79,0.0
3,8.0,16.0,18.0,15.0,11.0,20.0,33.0,6.28,0.0
4,13.0,6.0,5.0,7.0,17.0,5.0,44.0,7.01,0.0
5,20.0,15.0,12.0,15.0,7.0,11.0,41.0,6.17,0.0
6,12.0,12.0,9.0,19.0,7.0,7.0,25.0,6.24,0.0
7,20.0,8.0,14.0,14.0,8.0,15.0,39.0,6.02,0.0
8,11.0,14.0,19.0,7.0,17.0,15.0,41.0,6.29,0.0
9,12.0,14.0,10.0,11.0,10.0,6.0,44.0,6.99,0.0
10,13.0,20.0,7.0,7.0,9.0,9.0,7.0,6.78,0.0
11,7.0,17.0,13.0,12.0,11.0,18.0,42.0,6.23,0.0
12,13.0,19.0,20.0,16.0,7.0,15.0,44.0,6.1,0.0
13,8.0,20.0,15.0,11.0,12.0,5.0,22.0,6.08,0.0
14,8.0,12.0,16.0,10.0,15.0,18.0,8.0,6.17,0.0
15,8.0,9.0,12.0,6.0,7.0,5.0,12.0,8.2,0.0
16,11.0,8.0,17.0,7.0,16.0,8.0,7.0,5.69,0.0
17,5.0,11.0,10.0,8.0,20.0,11.0,8.0,7.12,0.0
18,5.0,18.0,8.0,13.0,7.0,12.0,9.0,7.07,0.0
19,14.0,16.0,18.0,10.0,6.0,19.0,7.0,6.4,0.0
20,8.0,17.0,11.0,13.0,16.0,20.0,41.0,6.29,0.0
21,10.0,11.0,6.0,10.0,10.0,15.0,38.0,6.01,0.0
22,13.0,8.0,19.0,10.0,5.0,20.0,48.0,5.71,0.0
23,18.0,14.0,16.0,17.0,13.0,9.0,40.0,6.39,0.0
24,5.0,19.0,7.0,15.0,6.0,13.0,13.0,6.24,0.0
25,12.0,20.0,16.0,14.0,16.0,9.0,50.0,6.38,0.0
26,14.0,17.0,18.0,7.0,5.0,11.0,49.0,6.09,0.0
27,15.0,10.0,12.0,12.0,19.0,17.0,50.0,6.06,0.0
28,18.0,6.0,17.0,18.0,6.0,10.0,33.0,5.68,0.0
29,7.0,13.0,10.0,19.0,20.0,5.0,7.0,6.21,0.0
30,20.0,15.0,14.0,19.0,6.0,18.0,17.0,6.44,0.0
31,7.0,9.0,5.0,17.0,18.0,15.0,5.0,5.83,0.0
32,11.0,5.0,5.0,8.0,11.0,8.0,43.0,9.76,0.0
33,11.0,14.0,13.0,10.0,8.0,20.0,30.0,6.27,0.0
34,7.0,5.0,13.0,19.0,8.0,13.0,13.0,5.78,0.0
35,16.0,8.0,9.0,13.0,5.0,6.0,7.0,6.18,0.0
36,11.0,13.0,15.0,16.0,6.0,20.0,50.0,5.98,0.0
37,19.0,18.0,16.0,10.0,11.0,17.0,42.0,6.37,0.0
38,14.0,5.0,9.0,9.0,13.0,15.0,26.0,7.45,0.0
39,16.0,7.0,15.0,6.0,6.0,13.0,15.0,5.67,0.0
40,9.0,14.0,16.0,17.0,9.0,14.0,12.0,6.22,0.0
