"idx","params_1","params_2","params_3","params_4","params_5","params_6","params_7","fitness_1","gen","test_rmse"
0,13,14,2,9,17,16,52,6.7,0,8.35
1,10,16,12,19,7,17,18,6,0,8.72
2,10,5,4,20,9,18,91,5.48,0,8.7
3,20,5,10,4,3,11,61,9.19,0,7.99
4,18,4,12,14,11,20,82,5.45,0,5.97
5,7,18,16,15,17,9,8,6.45,0,8.2
6,18,1,3,13,1,20,64,16.64,0,12.06
7,11,8,11,3,7,19,29,8.21,0,9.13
8,8,5,18,15,3,3,41,7.91,0,9.49
9,17,16,4,10,18,10,91,6,0,5.71
10,4,18,11,18,7,20,71,6.18,0,8.44
11,19,10,15,3,20,13,41,6.13,0,8.23
12,19,8,10,6,7,6,5,8.16,0,9.83
13,20,9,16,3,3,5,20,7.52,0,9.56
14,2,3,18,13,17,9,67,12.85,0,11.53
15,8,7,19,14,19,9,58,5.77,0,6.07
16,16,12,3,11,20,4,63,7.95,0,8.4
17,19,11,7,8,1,9,15,12.89,0,10.34
18,8,12,6,11,14,2,13,9.32,0,9.66
19,5,8,2,19,18,20,88,7.52,0,8.72
20,3,1,4,7,20,19,16,11.96,0,10.66
21,13,3,12,4,2,20,3,11.26,0,9.12
22,7,6,4,16,7,2,87,8.37,0,7.79
23,1,18,14,20,4,9,9,17.57,0,12.7
24,8,3,10,12,14,6,8,8.5,0,8.06
25,17,15,2,20,4,13,26,6.73,0,9.2
26,9,12,16,19,6,7,99,6.21,0,8.08
27,2,6,6,11,17,9,16,10.04,0,13.57
28,20,15,6,1,16,14,73,6.7,0,9.16
29,17,10,12,13,9,5,72,6.13,0,7.95
30,1,15,3,11,2,18,36,18.3,0,16.12
31,5,8,16,12,20,10,87,5.58,0,9.15
32,12,19,20,5,10,13,96,6.49,0,8.82
33,14,3,1,20,7,11,21,9.6,0,8.86
34,8,8,15,13,19,14,5,5.9,0,8.2
35,13,19,14,2,6,15,9,7.65,0,9.14
36,9,6,15,17,16,18,78,5.65,0,6.12
37,1,2,16,11,10,15,7,19.09,0,17.89
38,14,7,18,3,5,1,52,11.23,0,8.57
39,14,11,1,7,1,1,87,16.47,0,14.46
40,17,20,4,7,4,20,84,6.8,0,8.71
41,7,10,9,6,4,16,51,8.69,0,9.54
42,3,1,9,15,4,9,18,19.01,0,17.57
43,17,12,4,5,9,1,6,14.73,0,11.38
44,2,7,9,18,11,12,73,12.7,0,8.27
45,2,20,16,15,14,12,69,6.3,0,8.73
46,6,7,13,19,10,1,18,9.81,0,8.99
47,5,9,11,11,12,3,44,9.54,0,9.56
48,20,2,2,9,6,5,75,8.71,0,8.56
49,10,12,13,18,5,10,15,7.07,0,8.17
50,16,8,2,10,6,17,94,7.33,0,8.57
51,3,10,13,11,10,14,14,6.67,0,9.01
52,4,18,16,16,11,11,16,7.07,0,8.07
53,16,4,16,14,2,10,43,8.79,0,8.64
54,5,6,19,13,3,3,11,14.46,0,14.15
55,7,8,2,13,1,4,51,16.91,0,15.65
56,18,17,10,15,16,19,92,7.13,0,6.09
57,7,14,3,12,8,9,75,6.44,0,8.84
58,6,14,7,12,4,3,90,7.5,0,10.14
59,1,17,15,7,4,16,51,9.14,0,9.8
60,9,7,2,7,20,5,14,9.21,0,8.58
61,7,15,13,12,18,5,14,6.15,0,8.18
62,20,16,5,19,13,14,67,6.34,0,5.89
63,16,11,16,16,7,18,79,6.03,0,8.94
64,8,1,11,11,11,2,68,14.28,0,9.61
65,5,9,20,5,13,19,38,6.11,0,8.92
66,16,3,3,17,2,3,29,10.78,0,9.7
67,5,2,10,1,15,11,21,11.9,0,9.83
68,5,15,12,17,13,17,65,5.96,0,8.96
69,2,19,3,17,20,3,96,7.07,0,9.51
70,14,7,10,18,20,14,62,5.81,0,5.64
71,13,20,19,8,1,1,95,8.09,0,9.26
72,6,10,17,19,9,11,9,6.34,0,8.41
73,16,9,10,14,13,13,8,5.88,0,8.05
74,6,5,8,10,11,2,5,13.51,0,11.83
75,16,14,5,16,20,3,87,6.31,0,7.35
76,5,12,14,2,20,15,50,6.31,0,8.28
77,15,2,4,16,5,1,5,11.07,0,9.41
78,20,20,5,11,4,18,84,5.85,0,8.88
79,12,7,13,16,4,2,79,9.02,0,9.79
80,15,20,11,4,20,10,17,6.57,0,8.6
81,13,10,4,17,7,2,51,6.49,0,9.02
82,15,12,7,15,12,3,6,7.89,0,9.69
83,2,16,9,1,17,19,74,8.77,0,8.54
84,7,8,3,17,17,14,65,7.31,0,7.32
85,10,4,5,14,19,14,11,8.88,0,8.13
86,4,14,3,4,14,5,94,9.32,0,9.52
87,1,15,14,14,1,16,42,13.11,0,13.49
88,9,3,12,3,4,12,89,8.67,0,8.45
89,1,12,12,6,1,8,47,18.89,0,17.02
90,3,20,5,7,1,7,85,14.79,0,11.01
91,4,1,10,12,1,20,30,18.85,0,17.58
92,5,6,15,4,16,12,91,5.68,0,8.84
93,9,5,1,7,12,11,61,9.3,0,9.27
94,10,10,18,11,6,19,11,8.34,0,8.11
95,4,18,19,10,6,13,19,8.33,0,8.04
96,5,8,11,17,8,8,97,8.2,0,8.88
97,6,10,12,14,2,5,77,8.62,0,9.2
98,1,13,3,3,5,14,39,17.35,0,13.87
99,18,14,5,19,14,10,82,6.29,0,8.92
