idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,test_rmse,archt_score
0,13.0,14.0,2.0,9.0,17.0,16.0,52.0,16.21,0.0,8.35,6.451782972165301
1,10.0,16.0,12.0,19.0,7.0,17.0,18.0,16.71,0.0,8.72,6.477726653563597
2,10.0,5.0,4.0,20.0,9.0,18.0,91.0,14.92,0.0,8.7,6.783797783202989
3,20.0,5.0,10.0,4.0,3.0,11.0,61.0,15.01,0.0,7.99,6.526874253042412
4,18.0,4.0,12.0,14.0,11.0,20.0,82.0,13.14,0.0,5.97,6.233713151791286
5,7.0,18.0,16.0,15.0,17.0,9.0,8.0,17.26,0.0,8.2,6.153878582872098
6,18.0,1.0,3.0,13.0,1.0,20.0,64.0,15.55,0.0,12.06,7.553442118283919
7,11.0,8.0,11.0,3.0,7.0,19.0,29.0,16.74,0.0,9.13,6.546744193650203
8,8.0,5.0,18.0,15.0,3.0,3.0,41.0,16.48,0.0,9.49,6.669120141298383
9,17.0,16.0,4.0,10.0,18.0,10.0,91.0,13.89,0.0,5.71,6.089592394136841
10,4.0,18.0,11.0,18.0,7.0,20.0,71.0,13.66,0.0,8.44,6.855970636155282
11,19.0,10.0,15.0,3.0,20.0,13.0,41.0,13.74,0.0,8.23,5.877254075750889
12,19.0,8.0,10.0,6.0,7.0,6.0,5.0,20.16,0.0,9.83,6.358761430215128
13,20.0,9.0,16.0,3.0,3.0,5.0,20.0,16.71,0.0,9.56,6.261944658574898
14,2.0,3.0,18.0,13.0,17.0,9.0,67.0,13.35,0.0,11.53,6.7288233165964195
15,8.0,7.0,19.0,14.0,19.0,9.0,58.0,13.35,0.0,6.07,5.9070651928654625
16,16.0,12.0,3.0,11.0,20.0,4.0,63.0,15.2,0.0,8.4,6.264502607404509
17,19.0,11.0,7.0,8.0,1.0,9.0,15.0,17.86,0.0,10.34,6.619853663958748
18,8.0,12.0,6.0,11.0,14.0,2.0,13.0,18.15,0.0,9.66,6.539072018816477
19,5.0,8.0,2.0,19.0,18.0,20.0,88.0,13.92,0.0,8.72,6.723146507743105
20,3.0,1.0,4.0,7.0,20.0,19.0,16.0,17.21,0.0,10.66,6.779221567886725
21,13.0,3.0,12.0,4.0,2.0,20.0,3.0,20.08,0.0,9.12,6.935496554661316
22,7.0,6.0,4.0,16.0,7.0,2.0,87.0,14.08,0.0,7.79,7.178548428458051
23,1.0,18.0,14.0,20.0,4.0,9.0,9.0,19.08,0.0,12.7,7.078986598992136
24,8.0,3.0,10.0,12.0,14.0,6.0,8.0,18.36,0.0,8.06,6.527200703376397
25,17.0,15.0,2.0,20.0,4.0,13.0,26.0,16.89,0.0,9.2,6.879579970223397
26,9.0,12.0,16.0,19.0,6.0,7.0,99.0,14.07,0.0,8.08,6.406906086863087
27,2.0,6.0,6.0,11.0,17.0,9.0,16.0,18.37,0.0,13.57,6.806365838573321
28,20.0,15.0,6.0,1.0,16.0,14.0,73.0,13.46,0.0,9.16,6.163901043129173
29,17.0,10.0,12.0,13.0,9.0,5.0,72.0,15.19,0.0,7.95,6.187119456929547
30,1.0,15.0,3.0,11.0,2.0,18.0,36.0,17.73,0.0,16.12,9.433994592731143
31,5.0,8.0,16.0,12.0,20.0,10.0,87.0,13.26,0.0,9.15,6.0742221845869455
32,12.0,19.0,20.0,5.0,10.0,13.0,96.0,13.32,0.0,8.82,6.018864354845176
33,14.0,3.0,1.0,20.0,7.0,11.0,21.0,19.21,0.0,8.86,7.278273784953086
34,8.0,8.0,15.0,13.0,19.0,14.0,5.0,18.39,0.0,8.2,6.191786528314584
35,13.0,19.0,14.0,2.0,6.0,15.0,9.0,16.43,0.0,9.14,6.3694067378242885
36,9.0,6.0,15.0,17.0,16.0,18.0,78.0,14.29,0.0,6.12,6.102055188858064
37,1.0,2.0,16.0,11.0,10.0,15.0,7.0,18.6,0.0,17.89,7.07182636073535
38,14.0,7.0,18.0,3.0,5.0,1.0,52.0,14.53,0.0,8.57,6.3125151543180635
39,14.0,11.0,1.0,7.0,1.0,1.0,87.0,18.22,0.0,14.46,7.557337239750151
40,17.0,20.0,4.0,7.0,4.0,20.0,84.0,15.2,0.0,8.71,6.593122445019436
41,7.0,10.0,9.0,6.0,4.0,16.0,51.0,14.39,0.0,9.54,7.186378331575638
42,3.0,1.0,9.0,15.0,4.0,9.0,18.0,17.73,0.0,17.57,7.6335131250533745
43,17.0,12.0,4.0,5.0,9.0,1.0,6.0,18.72,0.0,11.38,6.711293396140098
44,2.0,7.0,9.0,18.0,11.0,12.0,73.0,15.24,0.0,8.27,6.844729168286606
45,2.0,20.0,16.0,15.0,14.0,12.0,69.0,13.9,0.0,8.73,6.4970289536173205
46,6.0,7.0,13.0,19.0,10.0,1.0,18.0,16.59,0.0,8.99,6.593662985870002
47,5.0,9.0,11.0,11.0,12.0,3.0,44.0,15.77,0.0,9.56,6.449545677537669
48,20.0,2.0,2.0,9.0,6.0,5.0,75.0,16.06,0.0,8.56,7.129304936674406
49,10.0,12.0,13.0,18.0,5.0,10.0,15.0,18.27,0.0,8.17,6.392633067311627
50,16.0,8.0,2.0,10.0,6.0,17.0,94.0,16.41,0.0,8.57,6.700311317979921
51,3.0,10.0,13.0,11.0,10.0,14.0,14.0,17.16,0.0,9.01,6.486439884827693
52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,16.16,0.0,8.07,6.397654014325261
53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,15.34,0.0,8.64,6.372670369864325
54,5.0,6.0,19.0,13.0,3.0,3.0,11.0,18.43,0.0,14.15,6.733115115964171
55,7.0,8.0,2.0,13.0,1.0,4.0,51.0,18.13,0.0,15.65,8.312564878376818
56,18.0,17.0,10.0,15.0,16.0,19.0,92.0,13.01,0.0,6.09,5.9260791058467115
57,7.0,14.0,3.0,12.0,8.0,9.0,75.0,14.78,0.0,8.84,7.199402624176967
58,6.0,14.0,7.0,12.0,4.0,3.0,90.0,15.08,0.0,10.14,7.088535214691031
59,1.0,17.0,15.0,7.0,4.0,16.0,51.0,16.19,0.0,9.8,7.314130281642438
60,9.0,7.0,2.0,7.0,20.0,5.0,14.0,17.82,0.0,8.58,6.683272118872118
61,7.0,15.0,13.0,12.0,18.0,5.0,14.0,16.63,0.0,8.18,6.153641844492296
62,20.0,16.0,5.0,19.0,13.0,14.0,67.0,15.86,0.0,5.89,6.0762788618221055
63,16.0,11.0,16.0,16.0,7.0,18.0,79.0,13.02,0.0,8.94,6.234019143145655
64,8.0,1.0,11.0,11.0,11.0,2.0,68.0,13.71,0.0,9.61,6.752816210589117
65,5.0,9.0,20.0,5.0,13.0,19.0,38.0,15.6,0.0,8.92,6.252400524232058
66,16.0,3.0,3.0,17.0,2.0,3.0,29.0,17.45,0.0,9.7,7.432381673385777
67,5.0,2.0,10.0,1.0,15.0,11.0,21.0,16.28,0.0,9.83,6.8139941268877875
68,5.0,15.0,12.0,17.0,13.0,17.0,65.0,15.87,0.0,8.96,6.352430930258332
69,2.0,19.0,3.0,17.0,20.0,3.0,96.0,14.06,0.0,9.51,6.712001424929386
70,14.0,7.0,10.0,18.0,20.0,14.0,62.0,14.77,0.0,5.64,5.976964846551135
71,13.0,20.0,19.0,8.0,1.0,1.0,95.0,16.29,0.0,9.26,6.234332050036975
72,6.0,10.0,17.0,19.0,9.0,11.0,9.0,18.66,0.0,8.41,6.235627302131859
73,16.0,9.0,10.0,14.0,13.0,13.0,8.0,19.73,0.0,8.05,6.1160924795813765
74,6.0,5.0,8.0,10.0,11.0,2.0,5.0,17.55,0.0,11.83,6.870097368467084
75,16.0,14.0,5.0,16.0,20.0,3.0,87.0,12.52,0.0,7.35,6.150799986198631
76,5.0,12.0,14.0,2.0,20.0,15.0,50.0,15.85,0.0,8.28,6.203957019039637
77,15.0,2.0,4.0,16.0,5.0,1.0,5.0,18.82,0.0,9.41,7.2873652849003205
78,20.0,20.0,5.0,11.0,4.0,18.0,84.0,14.96,0.0,8.88,6.46396671393821
79,12.0,7.0,13.0,16.0,4.0,2.0,79.0,16.45,0.0,9.79,6.403534536656539
80,15.0,20.0,11.0,4.0,20.0,10.0,17.0,17.11,0.0,8.6,6.006484192613022
81,13.0,10.0,4.0,17.0,7.0,2.0,51.0,15.1,0.0,9.02,6.75834819865337
82,15.0,12.0,7.0,15.0,12.0,3.0,6.0,18.29,0.0,9.69,6.355815361425785
83,2.0,16.0,9.0,1.0,17.0,19.0,74.0,12.03,0.0,8.54,6.725453113586319
84,7.0,8.0,3.0,17.0,17.0,14.0,65.0,15.92,0.0,7.32,6.631248229136483
85,10.0,4.0,5.0,14.0,19.0,14.0,11.0,17.46,0.0,8.13,6.454845021463903
86,4.0,14.0,3.0,4.0,14.0,5.0,94.0,14.0,0.0,9.52,6.978408632821383
87,1.0,15.0,14.0,14.0,1.0,16.0,42.0,15.34,0.0,13.49,7.237067941394967
88,9.0,3.0,12.0,3.0,4.0,12.0,89.0,13.44,0.0,8.45,6.801711057686177
89,1.0,12.0,12.0,6.0,1.0,8.0,47.0,18.61,0.0,17.02,8.295537245474138
90,3.0,20.0,5.0,7.0,1.0,7.0,85.0,17.64,0.0,11.01,8.063319185512967
91,4.0,1.0,10.0,12.0,1.0,20.0,30.0,18.64,0.0,17.58,7.866943337262308
92,5.0,6.0,15.0,4.0,16.0,12.0,91.0,14.43,0.0,8.84,6.376886934959168
93,9.0,5.0,1.0,7.0,12.0,11.0,61.0,15.76,0.0,9.27,7.247806935540055
94,10.0,10.0,18.0,11.0,6.0,19.0,11.0,17.15,0.0,8.11,6.260924527800795
95,4.0,18.0,19.0,10.0,6.0,13.0,19.0,17.43,0.0,8.04,6.386728851811502
96,5.0,8.0,11.0,17.0,8.0,8.0,97.0,13.84,0.0,8.88,6.614911462701423
97,6.0,10.0,12.0,14.0,2.0,5.0,77.0,15.68,0.0,9.2,6.805752089980911
98,1.0,13.0,3.0,3.0,5.0,14.0,39.0,15.45,0.0,13.87,9.452751918880733
99,18.0,14.0,5.0,19.0,14.0,10.0,82.0,13.07,0.0,8.92,6.19648412231093
