idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen
0,13.0,14.0,2.0,9.0,17.0,16.0,52.0,17.31,0.0
1,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.7,0.0
2,10.0,5.0,4.0,20.0,9.0,18.0,91.0,17.03,0.0
3,20.0,5.0,10.0,4.0,3.0,11.0,61.0,19.54,0.0
4,18.0,4.0,12.0,14.0,11.0,20.0,82.0,14.13,0.0
5,7.0,18.0,16.0,15.0,17.0,9.0,8.0,16.03,0.0
6,18.0,1.0,3.0,13.0,1.0,20.0,64.0,231.4,0.0
7,11.0,8.0,11.0,3.0,7.0,19.0,29.0,16.97,0.0
8,8.0,5.0,18.0,15.0,3.0,3.0,41.0,14.95,0.0
9,17.0,16.0,4.0,10.0,18.0,10.0,91.0,18.95,0.0
10,4.0,18.0,11.0,18.0,7.0,20.0,71.0,12.73,0.0
11,19.0,10.0,15.0,3.0,20.0,13.0,41.0,12.01,0.0
12,19.0,8.0,10.0,6.0,7.0,6.0,5.0,20.88,0.0
13,20.0,9.0,16.0,3.0,3.0,5.0,20.0,14.97,0.0
14,2.0,3.0,18.0,13.0,17.0,9.0,67.0,26.63,0.0
15,8.0,7.0,19.0,14.0,19.0,9.0,58.0,14.45,0.0
16,16.0,12.0,3.0,11.0,20.0,4.0,63.0,15.85,0.0
17,19.0,11.0,7.0,8.0,1.0,9.0,15.0,17.96,0.0
18,8.0,12.0,6.0,11.0,14.0,2.0,13.0,17.14,0.0
19,5.0,8.0,2.0,19.0,18.0,20.0,88.0,17.32,0.0
20,3.0,1.0,4.0,7.0,20.0,19.0,16.0,16.72,0.0
21,13.0,3.0,12.0,4.0,2.0,20.0,3.0,20.77,0.0
22,7.0,6.0,4.0,16.0,7.0,2.0,87.0,16.15,0.0
23,1.0,18.0,14.0,20.0,4.0,9.0,9.0,19.01,0.0
24,8.0,3.0,10.0,12.0,14.0,6.0,8.0,18.0,0.0
25,17.0,15.0,2.0,20.0,4.0,13.0,26.0,15.57,0.0
26,9.0,12.0,16.0,19.0,6.0,7.0,99.0,20.03,0.0
27,2.0,6.0,6.0,11.0,17.0,9.0,16.0,15.65,0.0
28,20.0,15.0,6.0,1.0,16.0,14.0,73.0,19.86,0.0
29,17.0,10.0,12.0,13.0,9.0,5.0,72.0,15.34,0.0
30,1.0,15.0,3.0,11.0,2.0,18.0,36.0,13.42,0.0
31,5.0,8.0,16.0,12.0,20.0,10.0,87.0,13.95,0.0
32,12.0,19.0,20.0,5.0,10.0,13.0,96.0,12.78,0.0
33,14.0,3.0,1.0,20.0,7.0,11.0,21.0,18.63,0.0
34,8.0,8.0,15.0,13.0,19.0,14.0,5.0,18.29,0.0
35,13.0,19.0,14.0,2.0,6.0,15.0,9.0,15.96,0.0
36,9.0,6.0,15.0,17.0,16.0,18.0,78.0,23.79,0.0
37,1.0,2.0,16.0,11.0,10.0,15.0,7.0,17.97,0.0
38,14.0,7.0,18.0,3.0,5.0,1.0,52.0,13.12,0.0
39,14.0,11.0,1.0,7.0,1.0,1.0,87.0,198.91,0.0
40,17.0,20.0,4.0,7.0,4.0,20.0,84.0,15.36,0.0
41,7.0,10.0,9.0,6.0,4.0,16.0,51.0,12.93,0.0
42,3.0,1.0,9.0,15.0,4.0,9.0,18.0,15.17,0.0
43,17.0,12.0,4.0,5.0,9.0,1.0,6.0,18.88,0.0
44,2.0,7.0,9.0,18.0,11.0,12.0,73.0,14.33,0.0
45,2.0,20.0,16.0,15.0,14.0,12.0,69.0,80.45,0.0
46,6.0,7.0,13.0,19.0,10.0,1.0,18.0,38.78,0.0
47,5.0,9.0,11.0,11.0,12.0,3.0,44.0,21.25,0.0
48,20.0,2.0,2.0,9.0,6.0,5.0,75.0,85.12,0.0
49,10.0,12.0,13.0,18.0,5.0,10.0,15.0,16.12,0.0
50,16.0,8.0,2.0,10.0,6.0,17.0,94.0,100.8,0.0
51,3.0,10.0,13.0,11.0,10.0,14.0,14.0,16.29,0.0
52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,14.21,0.0
53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,15.48,0.0
