idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,8,10,4,13,16,5,12,15.56,600.0,,0
1,14,19,11,18,7,11,13,15.45,650.0,,0
2,15,10,5,9,13,20,21,14.29,1050.0,,0
3,2,8,9,19,20,8,16,15.59,800.0,,0
4,5,14,20,3,10,20,25,14.65,1250.0,,0
5,12,12,10,19,4,15,27,14.51,1350.0,,0
6,14,14,20,10,14,15,21,19.44,1050.0,,0
7,10,1,10,19,10,17,25,14.75,1250.0,,0
8,9,17,18,16,11,5,26,14.67,1300.0,,0
9,11,19,1,12,2,15,22,96.32,1100.0,,0
10,3,1,13,18,10,2,29,15.27,1450.0,,0
11,14,7,4,2,2,2,22,104.56,1100.0,,0
12,17,18,12,9,6,4,34,28.82,1700.0,,0
13,7,1,9,9,7,6,40,26.05,2000.0,,0
14,3,10,11,1,11,10,42,19.79,2100.0,,0
15,3,14,7,15,9,6,46,52.78,2300.0,,0
16,10,12,3,20,11,13,65,56.33,3250.0,,0
17,11,6,10,15,1,2,46,539.36,2300.0,,0
18,8,10,9,2,3,2,60,561.07,3000.0,,0
19,8,6,8,16,9,3,71,1629.49,3550.0,,0
0,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122677.5,1.0
1,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122677.5,1.0
2,15.0,10.0,5.0,18.0,7.0,11.0,13.0,15.32,650.0,122677.5,1.0
3,5.0,14.0,20.0,3.0,10.0,20.0,25.0,14.65,1250.0,122677.5,1.0
4,12.0,12.0,10.0,19.0,4.0,15.0,27.0,14.51,1350.0,122677.5,1.0
5,12.0,12.0,10.0,19.0,4.0,15.0,27.0,14.51,1350.0,122677.5,1.0
6,14.0,19.0,11.0,9.0,13.0,20.0,21.0,14.81,1050.0,122677.5,1.0
7,20.0,8.0,20.0,18.0,10.0,2.0,29.0,14.44,1450.0,122677.5,1.0
8,20.0,1.0,13.0,18.0,20.0,2.0,46.0,14.4,2300.0,122677.5,1.0
9,8.0,10.0,4.0,13.0,16.0,5.0,12.0,15.56,600.0,122677.5,1.0
10,8.0,10.0,4.0,13.0,16.0,5.0,12.0,15.56,600.0,122677.5,1.0
11,8.0,10.0,4.0,13.0,16.0,5.0,12.0,15.56,600.0,122677.5,1.0
12,14.0,19.0,11.0,18.0,7.0,11.0,13.0,15.45,650.0,122677.5,1.0
13,20.0,10.0,5.0,9.0,13.0,20.0,25.0,14.67,1250.0,122677.5,1.0
14,12.0,12.0,10.0,20.0,20.0,20.0,27.0,14.55,1350.0,122677.5,1.0
15,2.0,8.0,9.0,19.0,20.0,8.0,16.0,15.59,800.0,122677.5,1.0
16,2.0,8.0,9.0,19.0,20.0,8.0,16.0,15.59,800.0,122677.5,1.0
17,9.0,17.0,18.0,16.0,11.0,5.0,26.0,14.67,1300.0,122677.5,1.0
18,14.0,14.0,20.0,10.0,14.0,15.0,21.0,19.44,1050.0,122677.5,1.0
19,10.0,1.0,10.0,19.0,10.0,17.0,25.0,14.75,1250.0,122677.5,1.0
0,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122725.5,2.0
1,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122725.5,2.0
2,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122725.5,2.0
3,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122725.5,2.0
4,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122725.5,2.0
5,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122725.5,2.0
6,2.0,8.0,9.0,18.0,7.0,11.0,13.0,15.2,650.0,122725.5,2.0
7,5.0,14.0,20.0,3.0,10.0,20.0,25.0,14.65,1250.0,122725.5,2.0
8,20.0,1.0,13.0,18.0,20.0,2.0,46.0,14.4,2300.0,122725.5,2.0
9,9.0,17.0,18.0,16.0,14.0,15.0,21.0,14.69,1050.0,122725.5,2.0
10,14.0,14.0,20.0,10.0,11.0,5.0,26.0,14.41,1300.0,122725.5,2.0
11,20.0,20.0,13.0,20.0,20.0,4.0,11.0,15.48,550.0,122725.5,2.0
12,15.0,10.0,5.0,18.0,7.0,11.0,13.0,15.32,650.0,122725.5,2.0
13,15.0,10.0,5.0,18.0,7.0,11.0,13.0,15.32,650.0,122725.5,2.0
14,20.0,8.0,20.0,18.0,10.0,2.0,29.0,14.44,1450.0,122725.5,2.0
15,20.0,10.0,4.0,13.0,16.0,5.0,12.0,15.55,600.0,122725.5,2.0
16,14.0,14.0,20.0,20.0,20.0,20.0,21.0,14.71,1050.0,122725.5,2.0
17,14.0,19.0,11.0,18.0,7.0,11.0,13.0,15.45,650.0,122725.5,2.0
18,20.0,10.0,5.0,9.0,13.0,20.0,25.0,14.67,1250.0,122725.5,2.0
19,6.0,20.0,4.0,20.0,16.0,5.0,26.0,14.47,1300.0,122725.5,2.0
0,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122752.5,3.0
1,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122752.5,3.0
2,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122752.5,3.0
3,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122752.5,3.0
4,15.0,10.0,5.0,9.0,13.0,20.0,21.0,14.29,1050.0,122752.5,3.0
5,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122752.5,3.0
6,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122752.5,3.0
7,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122752.5,3.0
8,20.0,20.0,18.0,20.0,11.0,4.0,11.0,15.39,550.0,122752.5,3.0
9,2.0,8.0,9.0,18.0,7.0,11.0,13.0,15.2,650.0,122752.5,3.0
10,20.0,8.0,20.0,10.0,11.0,5.0,26.0,14.28,1300.0,122752.5,3.0
