idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
0,7.0,7.0,1.0,5.0,9.0,11.68,1.0
1,8.0,7.0,5.0,8.0,6.0,11.91,1.0
2,10.0,4.0,9.0,3.0,5.0,11.26,1.0
3,9.0,5.0,2.0,9.0,6.0,11.74,1.0
4,3.0,7.0,5.0,8.0,1.0,15.18,1.0
5,8.0,8.0,9.0,5.0,1.0,12.04,1.0
6,1.0,2.0,9.0,7.0,9.0,12.06,1.0
7,8.0,8.0,9.0,5.0,1.0,12.04,1.0
8,5.0,8.0,9.0,4.0,6.0,33.84,1.0
9,10.0,8.0,6.0,4.0,6.0,12.28,1.0
10,8.0,2.0,10.0,4.0,9.0,13.74,1.0
11,7.0,6.0,10.0,10.0,9.0,13.86,1.0
12,6.0,10.0,4.0,2.0,2.0,24.5,1.0
13,9.0,5.0,2.0,9.0,6.0,11.74,1.0
14,9.0,4.0,10.0,9.0,10.0,12.68,1.0
15,9.0,9.0,8.0,2.0,5.0,10.05,1.0
16,6.0,10.0,4.0,5.0,3.0,19.71,1.0
17,4.0,3.0,1.0,10.0,5.0,12.21,1.0
18,8.0,2.0,2.0,10.0,6.0,11.74,1.0
19,8.0,4.0,10.0,4.0,4.0,9.59,1.0
0,7.0,7.0,1.0,5.0,9.0,11.68,2.0
1,9.0,9.0,8.0,2.0,4.0,9.65,2.0
2,10.0,4.0,9.0,3.0,5.0,11.26,2.0
3,7.0,7.0,1.0,5.0,9.0,11.68,2.0
4,7.0,5.0,1.0,9.0,6.0,11.36,2.0
5,9.0,5.0,2.0,9.0,6.0,11.74,2.0
6,8.0,5.0,3.0,7.0,6.0,11.11,2.0
7,8.0,8.0,9.0,5.0,1.0,12.04,2.0
8,8.0,8.0,9.0,5.0,1.0,12.04,2.0
9,10.0,8.0,6.0,4.0,6.0,12.28,2.0
10,1.0,2.0,9.0,7.0,5.0,12.22,2.0
11,4.0,3.0,1.0,10.0,9.0,12.54,2.0
12,10.0,8.0,6.0,4.0,6.0,12.28,2.0
13,9.0,5.0,2.0,9.0,6.0,11.74,2.0
14,9.0,4.0,10.0,9.0,10.0,12.68,2.0
15,9.0,9.0,8.0,2.0,5.0,10.05,2.0
16,4.0,10.0,4.0,5.0,3.0,13.06,2.0
17,4.0,3.0,1.0,10.0,5.0,12.21,2.0
18,8.0,2.0,2.0,10.0,6.0,11.74,2.0
19,8.0,4.0,10.0,4.0,4.0,9.59,2.0
0,8.0,4.0,10.0,4.0,4.0,9.59,3.0
1,9.0,9.0,8.0,2.0,4.0,9.65,3.0
2,9.0,9.0,8.0,2.0,5.0,10.05,3.0
3,7.0,7.0,1.0,5.0,9.0,11.68,3.0
4,10.0,4.0,9.0,10.0,5.0,9.36,3.0
5,7.0,5.0,1.0,9.0,6.0,11.36,3.0
6,8.0,5.0,3.0,7.0,6.0,11.11,3.0
7,7.0,7.0,1.0,5.0,9.0,11.68,3.0
8,9.0,5.0,2.0,9.0,6.0,11.74,3.0
9,9.0,5.0,2.0,9.0,6.0,11.74,3.0
10,1.0,2.0,9.0,7.0,5.0,12.22,3.0
11,5.0,8.0,2.0,3.0,6.0,11.04,3.0
12,8.0,3.0,1.0,2.0,5.0,12.22,3.0
13,9.0,5.0,2.0,9.0,6.0,11.74,3.0
14,1.0,2.0,9.0,4.0,6.0,11.63,3.0
15,9.0,9.0,8.0,2.0,5.0,10.05,3.0
16,4.0,10.0,4.0,5.0,3.0,13.06,3.0
17,4.0,3.0,1.0,10.0,5.0,12.21,3.0
18,8.0,2.0,2.0,10.0,6.0,11.74,3.0
19,8.0,4.0,10.0,4.0,4.0,9.59,3.0
0,10.0,4.0,9.0,6.0,4.0,9.56,4.0
1,9.0,9.0,8.0,2.0,4.0,9.65,4.0
2,8.0,4.0,10.0,4.0,4.0,9.59,4.0
3,9.0,9.0,8.0,2.0,4.0,9.65,4.0
4,10.0,4.0,9.0,10.0,5.0,9.36,4.0
5,9.0,9.0,8.0,2.0,5.0,10.05,4.0
6,8.0,5.0,3.0,7.0,6.0,11.11,4.0
7,7.0,7.0,1.0,5.0,9.0,11.68,4.0
8,7.0,5.0,1.0,9.0,6.0,11.36,4.0
9,9.0,5.0,2.0,9.0,6.0,11.74,4.0
10,7.0,7.0,1.0,5.0,9.0,11.68,4.0
11,5.0,8.0,2.0,3.0,6.0,11.04,4.0
12,9.0,5.0,2.0,9.0,6.0,11.74,4.0
13,9.0,5.0,2.0,9.0,6.0,11.74,4.0
14,1.0,2.0,9.0,4.0,6.0,11.63,4.0
15,9.0,9.0,8.0,2.0,5.0,10.05,4.0
16,4.0,10.0,4.0,5.0,3.0,13.06,4.0
17,4.0,3.0,1.0,10.0,5.0,12.21,4.0
18,8.0,2.0,2.0,10.0,6.0,11.74,4.0
19,8.0,4.0,10.0,4.0,4.0,9.59,4.0
0,10.0,4.0,9.0,6.0,4.0,9.56,5.0
1,10.0,4.0,9.0,10.0,5.0,9.36,5.0
2,8.0,4.0,10.0,4.0,4.0,9.59,5.0
3,8.0,5.0,10.0,4.0,7.0,9.48,5.0
4,10.0,4.0,9.0,10.0,5.0,9.36,5.0
5,9.0,9.0,8.0,2.0,4.0,9.65,5.0
6,8.0,5.0,3.0,7.0,6.0,11.11,5.0
7,9.0,8.0,8.0,2.0,5.0,11.4,5.0
