0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
20,20,20,8,20,20,64,14.82,3200,16.0,372.28
20,20,20,1,20,20,60,14.96,3000,15.42,349.42
20,20,20,1,20,19,37,15.27,1850,15.7,399.91
11,5,20,20,20,20,27,15.44,1350,16.22,538.23
20,20,20,8,20,20,23,15.89,1150,16.57,427.86
5,8,13,13,16,3,22,15.91,1100,16.0,455.8
20,20,20,1,20,18,18,16.31,900,15.92,402.23
11,20,20,20,20,20,17,16.75,850,16.41,467.14
11,5,20,20,20,20,13,16.85,650,16.81,550.67
20,20,20,2,3,20,9,17.31,450,16.74,425.76
20,2,9,16,18,20,1,22.91,50,20.78,1081.64
