,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
0,0,13.0,14.0,2.0,9.0,17.0,16.0,52.0,17.31,0.0,6.7,118,70
1,1,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.7,0.0,6.0,67,26
2,2,10.0,5.0,4.0,20.0,9.0,18.0,91.0,17.03,0.0,5.48,115,4
3,3,20.0,5.0,10.0,4.0,3.0,11.0,61.0,19.54,0.0,9.19,142,120
4,4,18.0,4.0,12.0,14.0,11.0,20.0,82.0,14.13,0.0,5.45,51,3
5,5,7.0,18.0,16.0,15.0,17.0,9.0,8.0,16.03,0.0,6.45,93,61
7,7,11.0,8.0,11.0,3.0,7.0,19.0,29.0,16.97,0.0,8.21,113,102
8,8,8.0,5.0,18.0,15.0,3.0,3.0,41.0,14.95,0.0,7.91,72,96
9,9,17.0,16.0,4.0,10.0,18.0,10.0,91.0,18.95,0.0,6.0,136,25
10,10,4.0,18.0,11.0,18.0,7.0,20.0,71.0,12.73,0.0,6.18,6,40
11,11,19.0,10.0,15.0,3.0,20.0,13.0,41.0,12.01,0.0,6.13,1,33
12,12,19.0,8.0,10.0,6.0,7.0,6.0,5.0,20.88,0.0,8.16,155,100
13,13,20.0,9.0,16.0,3.0,3.0,5.0,20.0,14.97,0.0,7.52,73,88
14,14,2.0,3.0,18.0,13.0,17.0,9.0,67.0,26.63,0.0,12.85,172,151
15,15,8.0,7.0,19.0,14.0,19.0,9.0,58.0,14.45,0.0,5.77,61,11
16,16,16.0,12.0,3.0,11.0,20.0,4.0,63.0,15.85,0.0,7.95,89,98
17,17,19.0,11.0,7.0,8.0,1.0,9.0,15.0,17.96,0.0,12.89,125,152
18,18,8.0,12.0,6.0,11.0,14.0,2.0,13.0,17.14,0.0,9.32,116,124
19,19,5.0,8.0,2.0,19.0,18.0,20.0,88.0,17.32,0.0,7.52,119,87
20,20,3.0,1.0,4.0,7.0,20.0,19.0,16.0,16.72,0.0,11.96,108,148
21,21,13.0,3.0,12.0,4.0,2.0,20.0,3.0,20.77,0.0,11.26,154,143
22,22,7.0,6.0,4.0,16.0,7.0,2.0,87.0,16.15,0.0,8.37,98,105
23,23,1.0,18.0,14.0,20.0,4.0,9.0,9.0,19.01,0.0,17.57,137,162
24,24,8.0,3.0,10.0,12.0,14.0,6.0,8.0,18.0,0.0,8.5,127,109
25,25,17.0,15.0,2.0,20.0,4.0,13.0,26.0,15.57,0.0,6.73,85,72
26,26,9.0,12.0,16.0,19.0,6.0,7.0,99.0,20.03,0.0,6.21,149,41
27,27,2.0,6.0,6.0,11.0,17.0,9.0,16.0,15.65,0.0,10.04,87,134
28,28,20.0,15.0,6.0,1.0,16.0,14.0,73.0,19.86,0.0,6.7,147,71
29,29,17.0,10.0,12.0,13.0,9.0,5.0,72.0,15.34,0.0,6.13,80,34
30,30,1.0,15.0,3.0,11.0,2.0,18.0,36.0,13.42,0.0,18.3,29,164
31,31,5.0,8.0,16.0,12.0,20.0,10.0,87.0,13.95,0.0,5.58,45,7
32,32,12.0,19.0,20.0,5.0,10.0,13.0,96.0,12.78,0.0,6.49,7,63
33,33,14.0,3.0,1.0,20.0,7.0,11.0,21.0,18.63,0.0,9.6,130,128
34,34,8.0,8.0,15.0,13.0,19.0,14.0,5.0,18.29,0.0,5.9,128,18
35,35,13.0,19.0,14.0,2.0,6.0,15.0,9.0,15.96,0.0,7.65,92,91
36,36,9.0,6.0,15.0,17.0,16.0,18.0,78.0,23.79,0.0,5.65,165,8
37,37,1.0,2.0,16.0,11.0,10.0,15.0,7.0,17.97,0.0,19.09,126,171
38,38,14.0,7.0,18.0,3.0,5.0,1.0,52.0,13.12,0.0,11.23,20,142
40,40,17.0,20.0,4.0,7.0,4.0,20.0,84.0,15.36,0.0,6.8,81,75
41,41,7.0,10.0,9.0,6.0,4.0,16.0,51.0,12.93,0.0,8.69,11,111
42,42,3.0,1.0,9.0,15.0,4.0,9.0,18.0,15.17,0.0,19.01,78,170
43,43,17.0,12.0,4.0,5.0,9.0,1.0,6.0,18.88,0.0,14.73,132,155
44,44,2.0,7.0,9.0,18.0,11.0,12.0,73.0,14.33,0.0,12.7,57,150
47,47,5.0,9.0,11.0,11.0,12.0,3.0,44.0,21.25,0.0,9.54,157,127
49,49,10.0,12.0,13.0,18.0,5.0,10.0,15.0,16.12,0.0,7.07,97,79
51,51,3.0,10.0,13.0,11.0,10.0,14.0,14.0,16.29,0.0,6.67,101,68
52,52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,14.21,0.0,7.07,54,78
53,53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,15.48,0.0,8.79,83,113
54,54,5.0,6.0,19.0,13.0,3.0,3.0,11.0,17.44,0.0,14.46,120,154
55,55,7.0,8.0,2.0,13.0,1.0,4.0,51.0,20.42,0.0,16.91,151,160
56,56,18.0,17.0,10.0,15.0,16.0,19.0,92.0,12.98,0.0,7.13,13,83
57,57,7.0,14.0,3.0,12.0,8.0,9.0,75.0,14.7,0.0,6.44,66,59
58,58,6.0,14.0,7.0,12.0,4.0,3.0,90.0,16.88,0.0,7.5,110,86
59,59,1.0,17.0,15.0,7.0,4.0,16.0,51.0,14.72,0.0,9.14,68,119
60,60,9.0,7.0,2.0,7.0,20.0,5.0,14.0,16.37,0.0,9.21,103,121
61,61,7.0,15.0,13.0,12.0,18.0,5.0,14.0,15.85,0.0,6.15,90,38
62,62,20.0,16.0,5.0,19.0,13.0,14.0,67.0,12.87,0.0,6.34,8,54
63,63,16.0,11.0,16.0,16.0,7.0,18.0,79.0,12.6,0.0,6.03,4,27
65,65,5.0,9.0,20.0,5.0,13.0,19.0,38.0,13.42,0.0,6.11,28,32
66,66,16.0,3.0,3.0,17.0,2.0,3.0,29.0,16.1,0.0,10.78,95,137
