,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
0,0,13.0,14.0,2.0,9.0,17.0,16.0,52.0,16.21,0.0,6.7,54,33
1,1,10.0,16.0,12.0,19.0,7.0,17.0,18.0,16.71,0.0,6.0,64,13
2,2,10.0,5.0,4.0,20.0,9.0,18.0,91.0,14.92,0.0,5.48,30,2
3,3,20.0,5.0,10.0,4.0,3.0,11.0,61.0,15.01,0.0,9.19,32,67
4,4,18.0,4.0,12.0,14.0,11.0,20.0,82.0,13.14,0.0,5.45,6,1
5,5,7.0,18.0,16.0,15.0,17.0,9.0,8.0,17.26,0.0,6.45,71,28
6,6,18.0,1.0,3.0,13.0,1.0,20.0,64.0,15.55,0.0,16.64,42,92
7,7,11.0,8.0,11.0,3.0,7.0,19.0,29.0,16.74,0.0,8.21,65,53
8,8,8.0,5.0,18.0,15.0,3.0,3.0,41.0,16.48,0.0,7.91,60,48
9,9,17.0,16.0,4.0,10.0,18.0,10.0,91.0,13.89,0.0,6.0,17,12
10,10,4.0,18.0,11.0,18.0,7.0,20.0,71.0,13.66,0.0,6.18,13,19
11,11,19.0,10.0,15.0,3.0,20.0,13.0,41.0,13.74,0.0,6.13,15,17
12,12,19.0,8.0,10.0,6.0,7.0,6.0,5.0,20.16,0.0,8.16,100,51
13,13,20.0,9.0,16.0,3.0,3.0,5.0,20.0,16.71,0.0,7.52,63,44
14,14,2.0,3.0,18.0,13.0,17.0,9.0,67.0,13.35,0.0,12.85,9,83
15,15,8.0,7.0,19.0,14.0,19.0,9.0,58.0,13.35,0.0,5.77,10,6
16,16,16.0,12.0,3.0,11.0,20.0,4.0,63.0,15.2,0.0,7.95,36,49
17,17,19.0,11.0,7.0,8.0,1.0,9.0,15.0,17.86,0.0,12.89,80,84
18,18,8.0,12.0,6.0,11.0,14.0,2.0,13.0,18.15,0.0,9.32,82,71
19,19,5.0,8.0,2.0,19.0,18.0,20.0,88.0,13.92,0.0,7.52,19,45
20,20,3.0,1.0,4.0,7.0,20.0,19.0,16.0,17.21,0.0,11.96,70,81
21,21,13.0,3.0,12.0,4.0,2.0,20.0,3.0,20.08,0.0,11.26,99,79
22,22,7.0,6.0,4.0,16.0,7.0,2.0,87.0,14.08,0.0,8.37,23,56
23,23,1.0,18.0,14.0,20.0,4.0,9.0,9.0,19.08,0.0,17.57,96,95
24,24,8.0,3.0,10.0,12.0,14.0,6.0,8.0,18.36,0.0,8.5,86,57
25,25,17.0,15.0,2.0,20.0,4.0,13.0,26.0,16.89,0.0,6.73,66,35
26,26,9.0,12.0,16.0,19.0,6.0,7.0,99.0,14.07,0.0,6.21,22,20
27,27,2.0,6.0,6.0,11.0,17.0,9.0,16.0,18.37,0.0,10.04,87,75
28,28,20.0,15.0,6.0,1.0,16.0,14.0,73.0,13.46,0.0,6.7,12,34
29,29,17.0,10.0,12.0,13.0,9.0,5.0,72.0,15.19,0.0,6.13,35,16
30,30,1.0,15.0,3.0,11.0,2.0,18.0,36.0,17.73,0.0,18.3,78,96
31,31,5.0,8.0,16.0,12.0,20.0,10.0,87.0,13.26,0.0,5.58,7,3
32,32,12.0,19.0,20.0,5.0,10.0,13.0,96.0,13.32,0.0,6.49,8,29
33,33,14.0,3.0,1.0,20.0,7.0,11.0,21.0,19.21,0.0,9.6,97,73
34,34,8.0,8.0,15.0,13.0,19.0,14.0,5.0,18.39,0.0,5.9,88,10
35,35,13.0,19.0,14.0,2.0,6.0,15.0,9.0,16.43,0.0,7.65,58,46
36,36,9.0,6.0,15.0,17.0,16.0,18.0,78.0,14.29,0.0,5.65,24,4
37,37,1.0,2.0,16.0,11.0,10.0,15.0,7.0,18.6,0.0,19.09,90,100
38,38,14.0,7.0,18.0,3.0,5.0,1.0,52.0,14.53,0.0,11.23,27,78
39,39,14.0,11.0,1.0,7.0,1.0,1.0,87.0,18.22,0.0,16.47,83,91
40,40,17.0,20.0,4.0,7.0,4.0,20.0,84.0,15.2,0.0,6.8,37,36
41,41,7.0,10.0,9.0,6.0,4.0,16.0,51.0,14.39,0.0,8.69,25,60
42,42,3.0,1.0,9.0,15.0,4.0,9.0,18.0,17.73,0.0,19.01,77,99
43,43,17.0,12.0,4.0,5.0,9.0,1.0,6.0,18.72,0.0,14.73,94,89
44,44,2.0,7.0,9.0,18.0,11.0,12.0,73.0,15.24,0.0,12.7,38,82
45,45,2.0,20.0,16.0,15.0,14.0,12.0,69.0,13.9,0.0,6.3,18,22
46,46,6.0,7.0,13.0,19.0,10.0,1.0,18.0,16.59,0.0,9.81,61,74
47,47,5.0,9.0,11.0,11.0,12.0,3.0,44.0,15.77,0.0,9.54,46,72
48,48,20.0,2.0,2.0,9.0,6.0,5.0,75.0,16.06,0.0,8.71,51,61
49,49,10.0,12.0,13.0,18.0,5.0,10.0,15.0,18.27,0.0,7.07,84,37
50,50,16.0,8.0,2.0,10.0,6.0,17.0,94.0,16.41,0.0,7.33,57,42
51,51,3.0,10.0,13.0,11.0,10.0,14.0,14.0,17.16,0.0,6.67,69,32
52,52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,16.16,0.0,7.07,52,39
53,53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,15.34,0.0,8.79,39,63
54,54,5.0,6.0,19.0,13.0,3.0,3.0,11.0,18.43,0.0,14.46,89,88
55,55,7.0,8.0,2.0,13.0,1.0,4.0,51.0,18.13,0.0,16.91,81,93
56,56,18.0,17.0,10.0,15.0,16.0,19.0,92.0,13.01,0.0,7.13,3,40
57,57,7.0,14.0,3.0,12.0,8.0,9.0,75.0,14.78,0.0,6.44,29,27
58,58,6.0,14.0,7.0,12.0,4.0,3.0,90.0,15.08,0.0,7.5,33,43
59,59,1.0,17.0,15.0,7.0,4.0,16.0,51.0,16.19,0.0,9.14,53,66
60,60,9.0,7.0,2.0,7.0,20.0,5.0,14.0,17.82,0.0,9.21,79,68
61,61,7.0,15.0,13.0,12.0,18.0,5.0,14.0,16.63,0.0,6.15,62,18
62,62,20.0,16.0,5.0,19.0,13.0,14.0,67.0,15.86,0.0,6.34,48,25
63,63,16.0,11.0,16.0,16.0,7.0,18.0,79.0,13.02,0.0,6.03,4,14
64,64,8.0,1.0,11.0,11.0,11.0,2.0,68.0,13.71,0.0,14.28,14,87
65,65,5.0,9.0,20.0,5.0,13.0,19.0,38.0,15.6,0.0,6.11,43,15
66,66,16.0,3.0,3.0,17.0,2.0,3.0,29.0,17.45,0.0,10.78,73,76
67,67,5.0,2.0,10.0,1.0,15.0,11.0,21.0,16.28,0.0,11.9,55,80
68,68,5.0,15.0,12.0,17.0,13.0,17.0,65.0,15.87,0.0,5.96,49,11
69,69,2.0,19.0,3.0,17.0,20.0,3.0,96.0,14.06,0.0,7.07,21,38
70,70,14.0,7.0,10.0,18.0,20.0,14.0,62.0,14.77,0.0,5.81,28,7
71,71,13.0,20.0,19.0,8.0,1.0,1.0,95.0,16.29,0.0,8.09,56,50
72,72,6.0,10.0,17.0,19.0,9.0,11.0,9.0,18.66,0.0,6.34,93,26
73,73,16.0,9.0,10.0,14.0,13.0,13.0,8.0,19.73,0.0,5.88,98,9
74,74,6.0,5.0,8.0,10.0,11.0,2.0,5.0,17.55,0.0,13.51,75,86
75,75,16.0,14.0,5.0,16.0,20.0,3.0,87.0,12.52,0.0,6.31,2,23
76,76,5.0,12.0,14.0,2.0,20.0,15.0,50.0,15.85,0.0,6.31,47,24
77,77,15.0,2.0,4.0,16.0,5.0,1.0,5.0,18.82,0.0,11.07,95,77
78,78,20.0,20.0,5.0,11.0,4.0,18.0,84.0,14.96,0.0,5.85,31,8
79,79,12.0,7.0,13.0,16.0,4.0,2.0,79.0,16.45,0.0,9.02,59,65
80,80,15.0,20.0,11.0,4.0,20.0,10.0,17.0,17.11,0.0,6.57,67,31
81,81,13.0,10.0,4.0,17.0,7.0,2.0,51.0,15.1,0.0,6.49,34,30
82,82,15.0,12.0,7.0,15.0,12.0,3.0,6.0,18.29,0.0,7.89,85,47
83,83,2.0,16.0,9.0,1.0,17.0,19.0,74.0,12.03,0.0,8.77,1,62
84,84,7.0,8.0,3.0,17.0,17.0,14.0,65.0,15.92,0.0,7.31,50,41
85,85,10.0,4.0,5.0,14.0,19.0,14.0,11.0,17.46,0.0,8.88,74,64
86,86,4.0,14.0,3.0,4.0,14.0,5.0,94.0,14.0,0.0,9.32,20,70
87,87,1.0,15.0,14.0,14.0,1.0,16.0,42.0,15.34,0.0,13.11,40,85
88,88,9.0,3.0,12.0,3.0,4.0,12.0,89.0,13.44,0.0,8.67,11,59
89,89,1.0,12.0,12.0,6.0,1.0,8.0,47.0,18.61,0.0,18.89,91,98
90,90,3.0,20.0,5.0,7.0,1.0,7.0,85.0,17.64,0.0,14.79,76,90
91,91,4.0,1.0,10.0,12.0,1.0,20.0,30.0,18.64,0.0,18.85,92,97
92,92,5.0,6.0,15.0,4.0,16.0,12.0,91.0,14.43,0.0,5.68,26,5
93,93,9.0,5.0,1.0,7.0,12.0,11.0,61.0,15.76,0.0,9.3,45,69
94,94,10.0,10.0,18.0,11.0,6.0,19.0,11.0,17.15,0.0,8.34,68,55
95,95,4.0,18.0,19.0,10.0,6.0,13.0,19.0,17.43,0.0,8.33,72,54
96,96,5.0,8.0,11.0,17.0,8.0,8.0,97.0,13.84,0.0,8.2,16,52
97,97,6.0,10.0,12.0,14.0,2.0,5.0,77.0,15.68,0.0,8.62,44,58
98,98,1.0,13.0,3.0,3.0,5.0,14.0,39.0,15.45,0.0,17.35,41,94
99,99,18.0,14.0,5.0,19.0,14.0,10.0,82.0,13.07,0.0,6.29,5,21
