,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,archt_score,fitness_gd,rank_elm,rank_gd,rank_test,rank_score
0,0,13.0,14.0,2.0,9.0,17.0,16.0,52.0,16.52,0.0,6.451782972165301,6.7,80,33,27,41
1,1,10.0,16.0,12.0,19.0,7.0,17.0,18.0,13.14,0.0,6.477726653563597,6.0,16,13,41,44
2,2,10.0,5.0,4.0,20.0,9.0,18.0,91.0,14.47,0.0,6.783797783202989,5.48,46,2,39,68
3,3,20.0,5.0,10.0,4.0,3.0,11.0,61.0,13.62,0.0,6.526874253042412,9.19,27,67,12,47
4,4,18.0,4.0,12.0,14.0,11.0,20.0,82.0,13.3,0.0,6.233713151791286,5.45,21,1,4,20
5,5,7.0,18.0,16.0,15.0,17.0,9.0,8.0,15.71,0.0,6.153878582872098,6.45,69,28,23,14
6,6,18.0,1.0,3.0,13.0,1.0,20.0,64.0,16.48,0.0,7.553442118283919,16.64,79,92,88,92
7,7,11.0,8.0,11.0,3.0,7.0,19.0,29.0,14.74,0.0,6.546744193650203,8.21,52,53,58,50
8,8,8.0,5.0,18.0,15.0,3.0,3.0,41.0,14.55,0.0,6.669120141298383,7.91,47,48,67,56
9,9,17.0,16.0,4.0,10.0,18.0,10.0,91.0,13.44,0.0,6.089592394136841,6.0,23,12,2,9
10,10,4.0,18.0,11.0,18.0,7.0,20.0,71.0,13.18,0.0,6.855970636155282,6.18,17,19,30,74
11,11,19.0,10.0,15.0,3.0,20.0,13.0,41.0,12.31,0.0,5.877254075750889,6.13,1,17,24,1
12,12,19.0,8.0,10.0,6.0,7.0,6.0,5.0,17.36,0.0,6.358761430215128,8.16,88,51,80,31
13,13,20.0,9.0,16.0,3.0,3.0,5.0,20.0,16.87,0.0,6.261944658574898,7.52,83,44,72,26
14,14,2.0,3.0,18.0,13.0,17.0,9.0,67.0,13.82,0.0,6.72882331659642,12.85,36,83,86,63
15,15,8.0,7.0,19.0,14.0,19.0,9.0,58.0,13.12,0.0,5.907065192865463,5.77,14,6,5,2
16,16,16.0,12.0,3.0,11.0,20.0,4.0,63.0,14.57,0.0,6.264502607404509,7.95,48,49,28,27
17,17,19.0,11.0,7.0,8.0,1.0,9.0,15.0,17.79,0.0,6.619853663958748,12.89,92,84,82,54
18,18,8.0,12.0,6.0,11.0,14.0,2.0,13.0,13.65,0.0,6.539072018816477,9.32,29,71,74,49
19,19,5.0,8.0,2.0,19.0,18.0,20.0,88.0,16.3,0.0,6.723146507743105,7.52,77,45,42,61
20,20,3.0,1.0,4.0,7.0,20.0,19.0,16.0,16.02,0.0,6.779221567886725,11.96,71,81,83,67
21,21,13.0,3.0,12.0,4.0,2.0,20.0,3.0,19.06,0.0,6.935496554661316,11.26,98,79,57,77
22,22,7.0,6.0,4.0,16.0,7.0,2.0,87.0,12.94,0.0,7.178548428458051,8.37,12,56,10,83
23,23,1.0,18.0,14.0,20.0,4.0,9.0,9.0,17.56,0.0,7.078986598992136,17.57,89,95,89,80
24,24,8.0,3.0,10.0,12.0,14.0,6.0,8.0,15.41,0.0,6.527200703376397,8.5,66,57,15,48
25,25,17.0,15.0,2.0,20.0,4.0,13.0,26.0,15.04,0.0,6.879579970223397,6.73,61,35,62,76
26,26,9.0,12.0,16.0,19.0,6.0,7.0,99.0,15.02,0.0,6.406906086863087,6.21,60,20,17,39
27,27,2.0,6.0,6.0,11.0,17.0,9.0,16.0,15.55,0.0,6.806365838573321,10.04,68,75,91,71
28,28,20.0,15.0,6.0,1.0,16.0,14.0,73.0,13.75,0.0,6.163901043129173,6.7,33,34,61,15
29,29,17.0,10.0,12.0,13.0,9.0,5.0,72.0,14.04,0.0,6.187119456929547,6.13,42,16,11,16
30,30,1.0,15.0,3.0,11.0,2.0,18.0,36.0,15.54,0.0,9.433994592731144,18.3,67,96,96,99
31,31,5.0,8.0,16.0,12.0,20.0,10.0,87.0,12.92,0.0,6.0742221845869455,5.58,11,3,60,7
32,32,12.0,19.0,20.0,5.0,10.0,13.0,96.0,12.49,0.0,6.018864354845176,6.49,3,29,44,6
33,33,14.0,3.0,1.0,20.0,7.0,11.0,21.0,19.08,0.0,7.278273784953086,9.6,99,73,47,88
34,34,8.0,8.0,15.0,13.0,19.0,14.0,5.0,16.39,0.0,6.191786528314584,5.9,78,10,22,17
35,35,13.0,19.0,14.0,2.0,6.0,15.0,9.0,14.4,0.0,6.3694067378242885,7.65,45,46,59,32
36,36,9.0,6.0,15.0,17.0,16.0,18.0,78.0,12.88,0.0,6.102055188858064,5.65,10,4,7,10
37,37,1.0,2.0,16.0,11.0,10.0,15.0,7.0,17.85,0.0,7.07182636073535,19.09,94,100,100,79
38,38,14.0,7.0,18.0,3.0,5.0,1.0,52.0,15.1,0.0,6.312515154318064,11.23,63,78,34,28
39,39,14.0,11.0,1.0,7.0,1.0,1.0,87.0,17.34,0.0,7.557337239750151,16.47,87,91,94,93
40,40,17.0,20.0,4.0,7.0,4.0,20.0,84.0,13.78,0.0,6.593122445019436,6.8,34,36,40,51
41,41,7.0,10.0,9.0,6.0,4.0,16.0,51.0,14.16,0.0,7.186378331575638,8.69,43,60,70,84
42,42,3.0,1.0,9.0,15.0,4.0,9.0,18.0,18.15,0.0,7.6335131250533745,19.01,95,99,98,94
43,43,17.0,12.0,4.0,5.0,9.0,1.0,6.0,14.89,0.0,6.711293396140098,14.73,57,89,85,59
44,44,2.0,7.0,9.0,18.0,11.0,12.0,73.0,17.0,0.0,6.844729168286606,12.7,84,82,25,73
45,45,2.0,20.0,16.0,15.0,14.0,12.0,69.0,13.43,0.0,6.4970289536173205,6.3,22,22,43,46
46,46,6.0,7.0,13.0,19.0,10.0,1.0,18.0,13.12,0.0,6.593662985870002,9.81,15,74,54,52
47,47,5.0,9.0,11.0,11.0,12.0,3.0,44.0,15.05,0.0,6.449545677537669,9.54,62,72,71,40
48,48,20.0,2.0,2.0,9.0,6.0,5.0,75.0,14.03,0.0,7.129304936674406,8.71,41,61,33,82
49,49,10.0,12.0,13.0,18.0,5.0,10.0,15.0,14.69,0.0,6.392633067311627,7.07,50,37,20,36
50,50,16.0,8.0,2.0,10.0,6.0,17.0,94.0,12.79,0.0,6.700311317979921,7.33,8,42,35,58
51,51,3.0,10.0,13.0,11.0,10.0,14.0,14.0,14.87,0.0,6.486439884827693,6.67,56,32,55,45
52,52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,13.93,0.0,6.397654014325261,7.07,38,39,16,37
53,53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,16.05,0.0,6.372670369864325,8.79,72,63,38,33
54,54,5.0,6.0,19.0,13.0,3.0,3.0,11.0,13.86,0.0,6.733115115964171,14.46,37,88,93,64
55,55,7.0,8.0,2.0,13.0,1.0,4.0,51.0,15.96,0.0,8.312564878376818,16.91,70,93,95,98
56,56,18.0,17.0,10.0,15.0,16.0,19.0,92.0,13.21,0.0,5.926079105846712,7.13,19,40,6,3
57,57,7.0,14.0,3.0,12.0,8.0,9.0,75.0,13.29,0.0,7.199402624176967,6.44,20,27,46,85
58,58,6.0,14.0,7.0,12.0,4.0,3.0,90.0,14.01,0.0,7.088535214691031,7.5,40,43,81,81
59,59,1.0,17.0,15.0,7.0,4.0,16.0,51.0,17.64,0.0,7.314130281642438,9.14,91,66,78,90
60,60,9.0,7.0,2.0,7.0,20.0,5.0,14.0,16.7,0.0,6.683272118872118,9.21,82,68,36,57
61,61,7.0,15.0,13.0,12.0,18.0,5.0,14.0,13.6,0.0,6.153641844492296,6.15,25,18,21,13
62,62,20.0,16.0,5.0,19.0,13.0,14.0,67.0,12.74,0.0,6.0762788618221055,6.34,6,25,3,8
63,63,16.0,11.0,16.0,16.0,7.0,18.0,79.0,13.95,0.0,6.234019143145655,6.03,39,14,52,21
64,64,8.0,1.0,11.0,11.0,11.0,2.0,68.0,15.11,0.0,6.752816210589117,14.28,64,87,73,65
65,65,5.0,9.0,20.0,5.0,13.0,19.0,38.0,13.69,0.0,6.252400524232058,6.11,30,15,50,24
